protein1 protein2 neighborhood fusion cooccurence coexpression experimental database textmining combined_score
9606.ENSP00000000233 9606.ENSP00000360532 0 0 0 62 980 0 0 980
9606.ENSP00000003084 9606.ENSP00000358866 0 0 0 61 960 0 311 971
9606.ENSP00000005226 9606.ENSP00000381768 0 0 0 0 974 0 962 999
9606.ENSP00000005226 9606.ENSP00000480279 0 0 0 0 943 0 942 996
9606.ENSP00000005257 9606.ENSP00000230449 0 0 0 0 963 900 903 999
9606.ENSP00000005260 9606.ENSP00000223023 0 0 0 0 910 0 616 964
9606.ENSP00000005386 9606.ENSP00000318297 0 0 0 130 920 900 761 998
9606.ENSP00000008527 9606.ENSP00000380044 0 0 0 63 929 900 733 998
9606.ENSP00000008527 9606.ENSP00000254657 0 0 0 188 954 900 936 999
9606.ENSP00000008527 9606.ENSP00000308741 0 0 0 62 958 900 944 999
9606.ENSP00000008527 9606.ENSP00000384517 0 0 0 86 903 900 955 999
9606.ENSP00000008527 9606.ENSP00000478187 0 0 51 65 965 900 63 996
9606.ENSP00000008527 9606.ENSP00000314420 0 0 0 81 966 900 833 999
9606.ENSP00000009530 9606.ENSP00000402346 0 0 0 0 943 0 0 943
9606.ENSP00000011619 9606.ENSP00000360532 0 0 0 103 980 0 0 981
9606.ENSP00000011653 9606.ENSP00000337825 0 0 0 111 952 900 657 998
9606.ENSP00000013807 9606.ENSP00000371469 0 0 0 62 993 900 269 999
9606.ENSP00000013807 9606.ENSP00000307853 0 0 0 91 906 900 917 999
9606.ENSP00000013807 9606.ENSP00000310520 0 0 0 64 998 900 935 999
9606.ENSP00000019317 9606.ENSP00000349824 0 0 0 0 913 0 728 975
9606.ENSP00000019317 9606.ENSP00000386456 0 0 0 0 950 0 0 950
9606.ENSP00000019317 9606.ENSP00000334836 0 0 0 0 914 0 0 914
9606.ENSP00000019317 9606.ENSP00000392065 0 0 0 0 943 0 562 974
9606.ENSP00000023064 9606.ENSP00000360532 0 0 0 0 980 0 0 980
9606.ENSP00000023939 9606.ENSP00000466967 0 0 0 0 976 0 0 976
9606.ENSP00000040663 9606.ENSP00000259154 0 0 0 0 942 0 0 942
9606.ENSP00000040663 9606.ENSP00000359990 0 0 0 0 945 0 0 945
9606.ENSP00000044462 9606.ENSP00000363993 0 0 0 798 983 900 692 999
9606.ENSP00000044462 9606.ENSP00000310572 0 0 204 902 992 900 590 999
9606.ENSP00000044462 9606.ENSP00000391211 0 0 0 947 992 900 773 999
9606.ENSP00000044462 9606.ENSP00000261712 0 0 0 886 992 900 470 999
9606.ENSP00000044462 9606.ENSP00000357879 0 0 0 924 991 900 677 999
9606.ENSP00000044462 9606.ENSP00000290541 0 0 0 919 994 900 658 999
9606.ENSP00000044462 9606.ENSP00000261479 0 0 96 996 992 900 180 999
9606.ENSP00000044462 9606.ENSP00000262193 0 0 216 976 993 900 722 999
9606.ENSP00000044462 9606.ENSP00000157812 59 0 0 871 992 900 333 999
9606.ENSP00000044462 9606.ENSP00000261601 0 0 0 880 942 900 535 999
9606.ENSP00000044462 9606.ENSP00000418695 0 0 0 902 957 900 178 999
9606.ENSP00000044462 9606.ENSP00000414359 0 0 97 991 994 900 250 999
9606.ENSP00000044462 9606.ENSP00000441543 0 0 0 77 956 900 190 996
9606.ENSP00000044462 9606.ENSP00000259457 0 0 276 896 992 900 669 999
9606.ENSP00000044462 9606.ENSP00000370222 0 0 0 862 911 0 834 997
9606.ENSP00000044462 9606.ENSP00000401802 59 0 0 943 992 900 529 999
9606.ENSP00000044462 9606.ENSP00000388107 0 0 0 63 960 900 274 996
9606.ENSP00000044462 9606.ENSP00000311121 0 0 84 814 962 900 113 999
9606.ENSP00000044462 9606.ENSP00000223321 0 0 86 995 994 900 166 999
9606.ENSP00000044462 9606.ENSP00000216455 0 0 112 996 994 900 252 999
9606.ENSP00000044462 9606.ENSP00000362334 0 0 0 974 994 900 701 999
9606.ENSP00000044462 9606.ENSP00000309474 0 0 0 848 992 900 559 999
9606.ENSP00000044462 9606.ENSP00000483688 0 0 0 957 993 900 725 999
9606.ENSP00000044462 9606.ENSP00000270586 0 0 0 909 988 900 785 999
9606.ENSP00000044462 9606.ENSP00000481029 59 0 0 875 992 900 468 999
9606.ENSP00000044462 9606.ENSP00000304697 0 0 0 77 956 900 156 996
9606.ENSP00000044462 9606.ENSP00000215071 0 0 0 892 994 900 639 999
9606.ENSP00000044462 9606.ENSP00000264639 0 0 0 859 991 900 534 999
9606.ENSP00000044462 9606.ENSP00000348442 0 0 0 899 992 900 644 999
9606.ENSP00000044462 9606.ENSP00000351314 0 0 146 796 944 900 196 999
9606.ENSP00000044462 9606.ENSP00000396937 0 0 0 828 963 900 386 999
9606.ENSP00000044462 9606.ENSP00000271308 0 0 106 985 992 900 185 999
9606.ENSP00000044462 9606.ENSP00000219313 0 0 0 915 992 900 589 999
9606.ENSP00000044462 9606.ENSP00000325919 0 0 0 488 946 0 203 976
9606.ENSP00000044462 9606.ENSP00000386541 0 0 0 956 992 900 322 999
9606.ENSP00000044462 9606.ENSP00000364016 0 0 0 663 992 900 551 999
9606.ENSP00000044462 9606.ENSP00000359910 0 0 83 981 992 900 136 999
9606.ENSP00000044462 9606.ENSP00000261303 0 0 0 886 992 900 523 999
9606.ENSP00000044462 9606.ENSP00000478877 0 0 0 688 961 900 173 998
9606.ENSP00000044462 9606.ENSP00000310129 0 0 0 785 992 900 529 999
9606.ENSP00000044462 9606.ENSP00000355325 0 0 0 702 994 900 645 999
9606.ENSP00000053243 9606.ENSP00000365048 0 0 0 61 909 900 874 998
9606.ENSP00000053468 9606.ENSP00000377486 0 0 0 588 943 900 444 998
9606.ENSP00000053468 9606.ENSP00000393241 219 0 0 642 944 0 308 987
9606.ENSP00000053468 9606.ENSP00000357320 0 0 0 736 993 900 608 999
9606.ENSP00000053468 9606.ENSP00000259873 0 0 0 323 901 900 444 995
9606.ENSP00000053468 9606.ENSP00000420714 167 0 0 668 988 900 517 999
9606.ENSP00000053468 9606.ENSP00000363676 219 0 0 659 930 0 308 985
9606.ENSP00000053468 9606.ENSP00000308897 167 0 0 488 923 900 598 998
9606.ENSP00000053468 9606.ENSP00000301585 0 0 0 260 935 900 429 996
9606.ENSP00000053468 9606.ENSP00000339844 0 0 0 297 943 900 532 997
9606.ENSP00000053468 9606.ENSP00000357823 46 0 0 520 940 900 423 998
9606.ENSP00000053468 9606.ENSP00000417602 0 0 0 399 943 900 143 996
9606.ENSP00000053468 9606.ENSP00000258455 219 0 0 647 954 900 682 999
9606.ENSP00000053468 9606.ENSP00000382250 0 0 0 643 940 900 513 998
9606.ENSP00000053468 9606.ENSP00000380466 0 0 0 568 942 0 346 982
9606.ENSP00000053468 9606.ENSP00000317376 167 0 0 641 956 900 546 999
9606.ENSP00000053468 9606.ENSP00000260102 167 0 0 536 943 900 418 998
9606.ENSP00000053468 9606.ENSP00000225969 0 0 0 735 943 900 308 998
9606.ENSP00000053468 9606.ENSP00000296102 195 0 0 322 940 900 329 997
9606.ENSP00000053468 9606.ENSP00000333401 0 0 0 339 943 900 0 995
9606.ENSP00000053468 9606.ENSP00000354525 135 0 0 464 979 900 200 999
9606.ENSP00000053468 9606.ENSP00000295491 0 0 0 533 944 900 203 997
9606.ENSP00000053468 9606.ENSP00000253099 135 0 0 689 943 900 199 998
9606.ENSP00000053468 9606.ENSP00000288937 219 0 0 733 943 900 308 999
9606.ENSP00000053468 9606.ENSP00000384952 167 0 0 525 950 900 222 998
9606.ENSP00000053468 9606.ENSP00000315397 0 0 0 96 972 900 341 998
9606.ENSP00000053468 9606.ENSP00000264995 135 0 0 469 943 900 200 997
9606.ENSP00000053468 9606.ENSP00000300151 93 0 0 667 943 900 415 998
9606.ENSP00000053468 9606.ENSP00000252602 0 0 0 163 920 900 0 992
9606.ENSP00000053468 9606.ENSP00000361206 0 0 0 544 944 900 523 998
9606.ENSP00000053468 9606.ENSP00000081029 0 0 0 485 944 900 0 996
9606.ENSP00000053468 9606.ENSP00000423399 219 0 0 643 943 900 266 998
9606.ENSP00000053468 9606.ENSP00000373404 167 0 0 510 943 900 548 998
9606.ENSP00000053468 9606.ENSP00000322439 219 0 0 469 936 900 418 998
9606.ENSP00000053468 9606.ENSP00000341082 69 0 0 312 940 900 396 997
9606.ENSP00000053468 9606.ENSP00000312311 0 0 0 692 943 900 0 998
9606.ENSP00000053468 9606.ENSP00000354580 0 0 0 653 940 900 502 998
9606.ENSP00000053468 9606.ENSP00000342676 0 0 0 125 934 900 0 993
9606.ENSP00000053468 9606.ENSP00000223324 74 0 0 772 943 900 284 998
9606.ENSP00000053468 9606.ENSP00000362036 44 0 0 734 955 900 566 999
9606.ENSP00000053468 9606.ENSP00000258383 0 0 0 214 943 900 627 998
9606.ENSP00000053468 9606.ENSP00000362208 0 0 0 735 985 900 305 999
9606.ENSP00000053468 9606.ENSP00000360850 110 0 0 540 956 900 710 999
9606.ENSP00000053468 9606.ENSP00000245539 167 0 0 526 943 900 512 998
9606.ENSP00000053468 9606.ENSP00000361084 0 0 0 273 963 900 210 997
9606.ENSP00000053468 9606.ENSP00000279242 0 0 0 269 943 900 123 995
9606.ENSP00000053468 9606.ENSP00000272418 167 0 0 549 991 900 618 999
9606.ENSP00000053468 9606.ENSP00000306548 167 0 0 769 943 900 490 999
9606.ENSP00000053468 9606.ENSP00000360498 0 0 0 295 920 900 0 993
9606.ENSP00000054666 9606.ENSP00000249647 0 0 0 136 995 900 903 999
9606.ENSP00000054666 9606.ENSP00000338562 0 0 0 62 994 600 770 999
9606.ENSP00000054666 9606.ENSP00000376178 0 0 0 62 994 600 838 999
9606.ENSP00000054666 9606.ENSP00000317714 0 0 0 89 994 900 882 999
9606.ENSP00000055077 9606.ENSP00000360532 0 0 0 116 980 0 130 983
9606.ENSP00000055077 9606.ENSP00000408295 0 0 80 887 986 900 161 999
9606.ENSP00000055077 9606.ENSP00000376272 0 0 98 882 994 900 189 999
9606.ENSP00000055077 9606.ENSP00000368458 129 0 0 853 964 900 448 999
9606.ENSP00000055077 9606.ENSP00000426191 0 0 0 99 935 900 883 999
9606.ENSP00000055077 9606.ENSP00000371321 0 0 0 200 968 900 416 998
9606.ENSP00000055077 9606.ENSP00000369411 0 0 0 869 994 900 339 999
9606.ENSP00000081029 9606.ENSP00000254630 0 0 0 165 998 900 0 999
9606.ENSP00000081029 9606.ENSP00000377486 0 0 0 375 943 900 0 996
9606.ENSP00000081029 9606.ENSP00000384952 0 0 0 237 950 900 0 995
9606.ENSP00000081029 9606.ENSP00000315397 0 0 0 115 997 900 0 999
9606.ENSP00000081029 9606.ENSP00000053468 0 0 0 485 944 900 0 996
